Data,Prc_3M,WIBOR_3M,Margin,Credits_No,Credits_Val
01.01.2019,4.47,1.72,2.75,16.1,4.242
01.02.2019,4.48,1.72,2.76,16.8,4.363
01.03.2019,4.40,1.72,2.68,20.5,5.397
01.04.2019,4.42,1.72,2.70,21.5,5.763
01.05.2019,4.39,1.72,2.67,21.8,5.877
01.06.2019,4.37,1.72,2.65,19.7,5.424
01.07.2019,4.43,1.72,2.71,22.5,6.185
01.08.2019,4.40,1.72,2.68,20.4,5.614
01.09.2019,4.44,1.72,2.72,20.3,5.678
01.10.2019,4.46,1.72,2.74,21.5,5.979
01.11.2019,4.44,1.71,2.73,17.8,4.996
01.12.2019,4.41,1.70,2.71,18.1,5.069
01.01.2020,4.44,1.71,2.73,18.9,5.342
01.02.2020,4.44,1.71,2.73,19.8,5.667
01.03.2020,4.31,1.45,2.86,21.2,6.313
01.04.2020,3.96,0.83,3.13,16.8,5.014
01.05.2020,3.70,0.66,3.04,15.6,4.608
01.06.2020,3.28,0.27,3.01,15.1,4.204
01.07.2020,3.25,0.25,3.00,17.2,4.746
01.08.2020,3.06,0.23,2.83,16.0,4.490
01.09.2020,3.01,0.23,2.78,19.5,5.613
01.10.2020,2.91,0.22,2.69,21.1,6.256
01.11.2020,2.92,0.22,2.70,19.4,5.88
01.12.2020,2.93,0.21,2.72,18.7,5.749
01.01.2021,2.96,0.21,2.75,16.8,5.132
01.02.2021,2.91,0.21,2.70,19.8,6.009
01.03.2021,2.90,0.21,2.69,23.6,7.278
01.04.2021,2.87,0.21,2.66,22.7,7.223
01.05.2021,2.91,0.21,2.70,23.5,7.524
01.06.2021,2.93,0.21,2.72,23.8,7.808
01.07.2021,2.88,0.21,2.67,24.6,8.094
01.08.2021,2.87,0.21,2.66,24.6,8.197
01.09.2021,2.91,0.24,2.67,25.3,8.477
01.10.2021,3.08,0.61,2.47,25.4,8.635
01.11.2021,3.56,1.59,1.97,21.1,7.186
01.12.2021,4.53,2.35,2.18,20.6,7.174
01.01.2022,5.09,2.79,2.30,16.4,5.730
01.02.2022,5.47,3.33,2.14,14.9,5.132
01.03.2022,6.17,4.27,1.90,18.1,6.247
01.04.2022,6.67,5.48,1.19,14.6,5.142
01.05.2022,7.04,6.42,0.62,15.9,5.562
01.06.2022,8.07,6.85,1.22,10.90,3.780
01.07.2022,8.79,7.03,1.76,9,2.967
01.08.2022,9.15,7.04,2.11,7.4,2.426
01.09.2022,9.30,7.16,2.14,7.3,2.385
01.10.2022,9.37,7.34,2.03,6.7,2.183
01.11.2022,9.48,7.43,2.05,6.6,2.173
01.12.2022,9.36,7.11,2.25,6.3,2.05